time,frequency,confidence
2.2500000000,154.0612398772,0.0820960104
2.2600000000,156.9140200173,0.2711757123
2.2700000000,162.0834461887,0.3936275840
2.2800000000,159.4442204568,0.5520375371
2.2900000000,156.5223539822,0.6965891123
2.3000000000,155.3582503418,0.7105673552
2.3100000000,154.0860178610,0.0694480613
2.3200000000,154.8260383929,0.0827118307
2.3300000000,155.1352071441,0.0471040457
2.3400000000,155.2199971881,0.0754645765
2.3500000000,154.4501518562,0.1506620198
2.3600000000,154.1525232477,0.1585232466
2.3700000000,152.7359502170,0.1666150093
2.3800000000,149.7936096325,0.1196428761
2.3900000000,155.9486450482,0.0573460944
2.4000000000,167.2437511488,0.0227967910
2.4100000000,181.1320957273,0.0111744590
2.4200000000,194.1403326513,0.0230802372
2.4300000000,204.9428593204,0.0149426358
2.4400000000,223.1109826687,0.1229883507
2.4500000000,219.6579012000,0.1327665001
2.4600000000,209.4647591575,0.0488831811
2.4700000000,191.6047135508,0.0524504818
2.4800000000,170.5258204807,0.2648422718
2.4900000000,154.2055441411,0.2245392203
2.5000000000,149.2070714676,0.1818229854
2.5100000000,150.1966316001,0.0566312298
2.5200000000,151.9566487296,0.0240412802
2.5300000000,151.4348839029,0.0314800888
2.5400000000,151.1160177964,0.0874223933
2.5500000000,155.2174783825,0.1091850102
2.5600000000,155.7613403443,0.0695424974
2.5700000000,152.6211321924,0.0721479803
2.5800000000,150.2283476214,0.0757459030
2.5900000000,147.0201769914,0.1750856489
2.6000000000,148.9318635568,0.3545982540
2.6100000000,152.9595055500,0.2127331495
2.6200000000,155.9948488076,0.1785936058
2.6300000000,143.3574354798,0.1093159169
2.6400000000,143.3957495890,0.1415473074
2.6500000000,146.7303082249,0.1091301590
2.6600000000,151.3958335027,0.0896381363
2.6700000000,152.1115563136,0.2060510367
2.6800000000,149.6761216230,0.1286686063
2.6900000000,143.4807314940,0.2595830560
2.7000000000,133.2374808039,0.1801231056
2.7100000000,131.4184962652,0.0811713338
2.7200000000,134.5964853218,0.1131926328
2.7300000000,135.2183841958,0.0593078099
2.7400000000,133.1963467458,0.1227788031
2.7500000000,152.5253799976,0.2991541326
2.7600000000,174.2145604279,0.3529088199
2.7700000000,194.1886745232,0.6356974244
2.7800000000,190.7836789684,0.6503590345
2.7900000000,185.5621901912,0.5678672194
2.8000000000,182.6392945532,0.3705308437
2.8100000000,167.4331124747,0.7272752523
2.8200000000,165.1687416807,0.8877265453
2.8300000000,163.4570974654,0.9138880372
2.8400000000,161.2063545591,0.8396970630
2.8500000000,157.3682318577,0.8098042011
2.8600000000,154.5202797209,0.9132772684
2.8700000000,152.6109191150,0.9062629342
2.8800000000,150.4258220368,0.9160556197
2.8900000000,148.9744889953,0.9097021818
2.9000000000,147.7901332730,0.9407353997
2.9100000000,147.0687923897,0.9425035119
2.9200000000,146.6708069477,0.9390454292
2.9300000000,146.4487892651,0.9217410684
2.9400000000,146.4985134138,0.9365544319
2.9500000000,146.4882079777,0.9312447906
2.9600000000,146.6345751743,0.9404487014
2.9700000000,146.9830987865,0.9558411241
2.9800000000,147.1861743776,0.9596775770
2.9900000000,147.0610149691,0.9586912394
3.0000000000,147.3272229366,0.9592841864
3.0100000000,147.6176569105,0.9524391890
3.0200000000,148.2187284412,0.9264596105
3.0300000000,148.6852653579,0.9176757336
3.0400000000,149.2725191758,0.9180097580
3.0500000000,149.9355525771,0.8975132704
3.0600000000,151.0204783780,0.9275765419
3.0700000000,152.2192994454,0.9264965653
3.0800000000,153.5582797568,0.9314126968
3.0900000000,154.7445359289,0.9498320818
3.1000000000,155.6680992248,0.9591227174
3.1100000000,156.7250128762,0.9294313788
